subject	Name	Domain	Acceleration	Instrument	Jerk	Magnitude	Variable	count	average
1	NA	Time1	NA	Accelerometer1	fJerk1	NA	SD1	171765	-0.467758512621504
1	fBodyAcc-mean()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	347	-0.531895161258213
1	fBodyAcc-mean()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	347	-0.406435448904438
1	fBodyAcc-mean()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	347	-0.596411165253602
1	fBodyAcc-std()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	347	-0.553060616663401
1	fBodyAcc-std()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	347	-0.39015093964706
1	fBodyAcc-std()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	347	-0.498583091676081
1	fBodyAccJerk-mean()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	347	-0.547348892435764
1	fBodyAccJerk-mean()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	347	-0.507343617969859
1	fBodyAccJerk-mean()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	347	-0.695305113832853
1	fBodyAccJerk-std()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	347	-0.543979776127867
1	fBodyAccJerk-std()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	347	-0.466251676533372
1	fBodyAccJerk-std()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	347	-0.737861932680115
1	fBodyAccMag-mean()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.478448523354179
1	fBodyAccMag-std()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.589710231217867
1	fBodyBodyAccJerkMag-mean()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	347	-0.499075765624092
1	fBodyBodyAccJerkMag-std()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	347	-0.541823079570029
1	fBodyBodyGyroJerkMag-mean()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	347	-0.645970655298847
1	fBodyBodyGyroJerkMag-std()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	347	-0.685811262634006
1	fBodyBodyGyroMag-mean()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.535002770337752
1	fBodyBodyGyroMag-std()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.566576670397695
1	fBodyGyro-mean()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	347	-0.623219182311527
1	fBodyGyro-mean()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	347	-0.505309434070029
1	fBodyGyro-mean()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	347	-0.553529065425648
1	fBodyGyro-std()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	347	-0.708263420861671
1	fBodyGyro-std()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	347	-0.429825832648703
1	fBodyGyro-std()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	347	-0.650476162132565
1	tBodyAcc-mean()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	347	0.265696920582133
1	tBodyAcc-mean()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	347	-0.0182981725176081
1	tBodyAcc-mean()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	347	-0.10784573454611
1	tBodyAcc-std()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	347	-0.545795331328326
1	tBodyAcc-std()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	347	-0.367716218227378
1	tBodyAcc-std()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	347	-0.502645746562824
1	tBodyAccJerk-mean()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	347	0.0770930495126801
1	tBodyAccJerk-mean()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	347	0.0165908438802305
1	tBodyAccJerk-mean()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	347	-0.00910758730117003
1	tBodyAccJerk-std()-X	Time2	Body	Accelerometer2	fJerk2	NA	SD2	347	-0.524721922818732
1	tBodyAccJerk-std()-Y	Time3	Body	Accelerometer3	fJerk2	NA	SD3	347	-0.470412403511239
1	tBodyAccJerk-std()-Z	Time4	Body	Accelerometer4	fJerk2	NA	SD4	347	-0.717322274881844
1	tBodyAccJerkMag-mean()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	347	-0.545431612066571
1	tBodyAccJerkMag-std()	Time1	Body	Accelerometer1	fJerk2	Magnitude	SD1	347	-0.515922167555159
1	tBodyAccMag-mean()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.453632943768818
1	tBodyAccMag-std()	Time1	Body	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.497096402038328
1	tBodyGyro-mean()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	347	-0.0208764064320173
1	tBodyGyro-mean()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	347	-0.0880722729400576
1	tBodyGyro-mean()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	347	0.0862641666597983
1	tBodyGyro-std()-X	Time2	NA	Accelerometer2	fJerk1	NA	SD2	347	-0.686555715201729
1	tBodyGyro-std()-Y	Time3	NA	Accelerometer3	fJerk1	NA	SD3	347	-0.450979810499568
1	tBodyGyro-std()-Z	Time4	NA	Accelerometer4	fJerk1	NA	SD4	347	-0.597496136795101
1	tBodyGyroJerk-mean()-X	Time2	NA	Accelerometer2	fJerk2	NA	SD2	347	-0.0971120197265994
1	tBodyGyroJerk-mean()-Y	Time3	NA	Accelerometer3	fJerk2	NA	SD3	347	-0.0417164808293948
1	tBodyGyroJerk-mean()-Z	Time4	NA	Accelerometer4	fJerk2	NA	SD4	347	-0.0471393985477522
1	tBodyGyroJerk-std()-X	Time2	NA	Accelerometer2	fJerk2	NA	SD2	347	-0.637812687210375
1	tBodyGyroJerk-std()-Y	Time3	NA	Accelerometer3	fJerk2	NA	SD3	347	-0.634472244550432
1	tBodyGyroJerk-std()-Z	Time4	NA	Accelerometer4	fJerk2	NA	SD4	347	-0.664591977786455
1	tBodyGyroJerkMag-mean()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	347	-0.639517432642651
1	tBodyGyroJerkMag-std()	Time1	NA	Accelerometer1	fJerk2	Magnitude	SD1	347	-0.652050770910663
1	tBodyGyroMag-mean()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.475404785802305
1	tBodyGyroMag-std()	Time1	NA	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.499839593745821
1	tGravityAcc-mean()-X	Time2	Gravity	Accelerometer2	fJerk1	NA	SD2	347	0.744867411573487
1	tGravityAcc-mean()-Y	Time3	Gravity	Accelerometer3	fJerk1	NA	SD3	347	-0.0825562579855908
1	tGravityAcc-mean()-Z	Time4	Gravity	Accelerometer4	fJerk1	NA	SD4	347	0.072339870389049
1	tGravityAcc-std()-X	Time2	Gravity	Accelerometer2	fJerk1	NA	SD2	347	-0.9598594359366
1	tGravityAcc-std()-Y	Time3	Gravity	Accelerometer3	fJerk1	NA	SD3	347	-0.951150627458213
1	tGravityAcc-std()-Z	Time4	Gravity	Accelerometer4	fJerk1	NA	SD4	347	-0.925817590867435
1	tGravityAccMag-mean()	Time1	Gravity	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.453632943768818
1	tGravityAccMag-std()	Time1	Gravity	Accelerometer1	fJerk1	Magnitude	SD1	347	-0.497096402038328
2	NA	Time1	NA	Accelerometer1	fJerk1	NA	SD1	149490	-0.486816502518532
2	fBodyAcc-mean()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	302	-0.57377091142947
2	fBodyAcc-mean()-Y	Time3	Body	Accelerometer3	fJerk1	NA	SD3	302	-0.432566581302351
2	fBodyAcc-mean()-Z	Time4	Body	Accelerometer4	fJerk1	NA	SD4	302	-0.630081222124834
2	fBodyAcc-std()-X	Time2	Body	Accelerometer2	fJerk1	NA	SD2	302	-0.619788102803311
